type,beta,h,m,q0,q1,p,err,beta_p1,h_p1,m_p1,q0_p1,q1_p1,p_p1,err_p1
small M,20947.9152685259,-0.001921066932394414,1.0e-7,1.0000246442681949e-14,9.578745725962247e-8,1.26231908814254,9.17869884837559e-7,20947.9152685259,-0.001816832499631966,1.0e-7,9.999960672011195e-15,9.999960672011181e-15,1.0,9.237598811828624e-7
small M,21074.87233075939,-0.0019211708113611803,1.0e-7,1.0000251942617812e-14,9.589468648540979e-8,1.2539398659044028,9.491470983776793e-7,21074.87233075939,-0.0018185451916892016,1.0e-7,9.999958079077334e-15,9.999958079077329e-15,1.0,9.58465460198076e-7
small M,21201.82939299288,-0.00192126798064332,1.0e-7,1.0000257248161403e-14,9.599719328119953e-8,1.2456961064447145,9.797093353767177e-7,21201.82939299288,-0.0018203133946283544,1.0e-7,9.999955530938008e-15,9.99995553093801e-15,1.0,9.928453846311075e-7
small M,21328.786455226367,-0.0019213594454116699,1.0e-7,1.0000246653349484e-14,9.609522588372416e-8,1.2375843203446637,9.277021717908784e-7,21328.786455226367,-0.001822136117239918,1.0e-7,9.999962232633168e-15,9.999962232633177e-15,1.0,9.243538406584335e-7
small M,21455.74351745986,-0.0019214446889432705,1.0e-7,1.0000251350794715e-14,9.618912706906467e-8,1.2295979425371164,9.554079650574136e-7,21455.74351745986,-0.001824012391691714,1.0e-7,9.999960021245401e-15,9.999960021245393e-15,1.0,9.549333406693189e-7
small M,21582.700579693348,-0.0019215246181665323,1.0e-7,1.0000255887920027e-14,9.627910387039447e-8,1.2217340108708425,9.825431352904529e-7,21582.700579693348,-0.0018259412729512668,1.0e-7,9.99995783835841e-15,9.999957838358402e-15,1.0,9.852320222530475e-7
small M,21709.657641926842,-0.0019216001184280368,1.0e-7,1.0000244970902765e-14,9.636534190587902e-8,1.2139897886482967,9.285879510938762e-7,21709.657641926842,-0.0018279218380921262,1.0e-7,9.999964809602588e-15,9.999964809602594e-15,1.0,9.138530395167392e-7
small M,21836.61470416033,-0.001921670558875865,1.0e-7,1.0000249015645104e-14,9.644813168350869e-8,1.2063594806125493,9.533659332996873e-7,21836.61470416033,-0.0018299531856512457,1.0e-7,9.999962933469688e-15,9.9999629334697e-15,1.0,9.40814972094858e-7
small M,21963.571766393823,-0.0019217367513850669,1.0e-7,1.0000252926462932e-14,9.652762822887985e-8,1.1988407515898964,9.776770349370356e-7,21963.571766393823,-0.0018320344350086558,1.0e-7,9.999961076730677e-15,9.999961076730691e-15,1.0,9.675972668148202e-7
small M,22090.52882862731,-0.0019217994910909481,1.0e-7,1.00002419075668e-14,9.660397062512305e-8,1.1914314247006776,9.227815808501359e-7,22090.52882862731,-0.0018341647257885249,1.0e-7,9.99995924486081e-15,9.999959244860815e-15,1.0,9.94139079687994e-7
